series,level,freq,date,value
15-29 Days (Number),group,monthly,2013-03,33357.0
15-29 Days (Number),group,monthly,2013-04,31287.0
15-29 Days (Number),group,monthly,2013-05,37544.0
15-29 Days (Number),group,monthly,2013-06,33856.0
15-29 Days (Number),group,monthly,2013-07,37097.0
15-29 Days (Number),group,monthly,2013-08,40222.0
15-29 Days (Number),group,monthly,2013-09,29205.0
15-29 Days (Number),group,monthly,2013-10,31357.0
15-29 Days (Number),group,monthly,2013-11,29660.0
15-29 Days (Number),group,monthly,2013-12,32722.0
15-29 Days (Number),group,monthly,2014-01,42257.0
15-29 Days (Number),group,monthly,2014-02,32982.0
15-29 Days (Number),group,monthly,2014-03,34947.0
15-29 Days (Number),group,monthly,2014-04,33253.0
15-29 Days (Number),group,monthly,2014-05,38383.0
15-29 Days (Number),group,monthly,2014-06,36384.0
15-29 Days (Number),group,monthly,2014-07,43540.0
15-29 Days (Number),group,monthly,2014-08,43352.0
15-29 Days (Number),group,monthly,2014-09,32024.0
15-29 Days (Number),group,monthly,2014-10,34582.0
15-29 Days (Number),group,monthly,2014-11,31821.0
15-29 Days (Number),group,monthly,2014-12,35107.0
15-29 Days (Number),group,monthly,2015-01,42080.0
15-29 Days (Number),group,monthly,2015-02,31945.0
15-29 Days (Number),group,monthly,2015-03,37719.0
15-29 Days (Number),group,monthly,2015-04,33400.0
15-29 Days (Number),group,monthly,2015-05,39364.0
15-29 Days (Number),group,monthly,2015-06,35363.0
15-29 Days (Number),group,monthly,2015-07,39452.0
15-29 Days (Number),group,monthly,2015-08,40540.0
15-29 Days (Number),group,monthly,2015-09,28228.0
15-29 Days (Number),group,monthly,2015-10,29503.0
15-29 Days (Number),group,monthly,2015-11,27736.0
15-29 Days (Number),group,monthly,2015-12,30297.0
15-29 Days (Number),group,monthly,2016-01,40486.0
15-29 Days (Number),group,monthly,2016-02,35392.0
15-29 Days (Number),group,monthly,2016-03,31156.0
15-29 Days (Number),group,monthly,2016-04,31958.0
15-29 Days (Number),group,monthly,2016-05,37618.0
15-29 Days (Number),group,monthly,2016-06,34221.0
15-29 Days (Number),group,monthly,2016-07,39892.0
15-29 Days (Number),group,monthly,2016-08,37047.0
15-29 Days (Number),group,monthly,2016-09,26274.0
15-29 Days (Number),group,monthly,2016-10,27460.0
15-29 Days (Number),group,monthly,2016-11,25622.0
15-29 Days (Number),group,monthly,2016-12,29380.0
15-29 Days (Number),group,monthly,2017-01,40679.0
15-29 Days (Number),group,monthly,2017-02,33069.0
